wavenumbers,absorbance
400.0,1.7485748322098545e-25
401.0,0.0
402.0,0.0
403.0,5.4109168644848384e-21
404.0,1.7768212752916168e-31
405.0,7.009862437028148e-16
406.0,0.0
407.0,0.0
408.0,0.0
409.0,6.256472064645981e-26
410.0,0.0
411.0,0.0
412.0,6.709278002924629e-33
413.0,3.174074261050887e-22
414.0,0.0
415.0,9.782988441170076e-17
416.0,0.0
417.0,0.0
418.0,2.889219273824413e-27
419.0,0.0
420.0,8.880435432780605e-34
421.0,0.0
422.0,1.3845419197952766e-20
423.0,0.0
424.0,0.0
425.0,2.6335955533894734e-16
426.0,3.5742551545493624e-29
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,2.070283005605818e-23
432.0,0.0
433.0,0.0
434.0,0.0
435.0,9.85599363836367e-19
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,3.4755274263571136e-24
441.0,0.0
442.0,0.0
443.0,0.0
444.0,1.7484764260799135e-19
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,3.759931758664957e-24
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,6.392167594054925e-21
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,1.8802608113640707e-21
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
