wavenumbers,absorbance
400.0,5.525368634663982e-23
401.0,0.0
402.0,0.0
403.0,1.7321223333072795e-18
404.0,1.0271538340804734e-19
405.0,2.243701060551909e-13
406.0,1.3086851881672438e-14
407.0,0.0
408.0,0.0
409.0,1.9295355238141348e-23
410.0,0.0
411.0,0.0
412.0,2.1039925051080936e-20
413.0,1.031610090653899e-19
414.0,0.0
415.0,3.133153664894033e-14
416.0,1.9850588134898463e-15
417.0,0.0
418.0,9.365222671333276e-25
419.0,0.0
420.0,2.8660938924432928e-31
421.0,1.6050866826925484e-31
422.0,2.6355942485446034e-18
423.0,0.0
424.0,0.0
425.0,7.577646739723292e-14
426.0,1.1540859583915821e-26
427.0,8.826216829659388e-27
428.0,0.0
429.0,0.0
430.0,0.0
431.0,6.610012584438009e-21
432.0,2.8451043356763746e-22
433.0,0.0
434.0,4.6158457471794884e-17
435.0,3.203383248532498e-16
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,1.1062512228855377e-21
441.0,3.531628415122177e-23
442.0,0.0
443.0,0.0
444.0,5.613281927676759e-17
445.0,5.33081342446301e-18
446.0,0.0
447.0,0.0
448.0,0.0
449.0,1.1609282191012525e-21
450.0,0.0
451.0,0.0
452.0,0.0
453.0,1.1681255762110863e-18
454.0,2.0769449501104527e-18
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,8.358867144512521e-20
463.0,6.111182301670471e-19
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,0.0
565.0,0.0
566.0,0.0
567.0,0.0
568.0,0.0
569.0,0.0
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
